dataset,run,seed,method,short_name,mode,factor,effective_interval_min,t_onset,t_fail,max_lead_hours,lead_time_hours,detection_delay_hours,far_preonset_pct,lead_norm,vlt_legacy_hours,far_legacy_pct,valid_alarm,n_test_windows,window_rows,persistence_windows,window_floored,control,onset_method
FEMTO,Bearing1_1,42,"EWMA (λ=0.2, k=3.0)",ewma,aggregate,20,3.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.6166666666666667,0.013888888888888888,0.0,0.9779735682819384,0.6166666666666667,0.0,True,56,3,1,True,False,terminal
FEMTO,Bearing1_1,42,"CUSUM (k=0.5, h=5.0)",cusum,aggregate,20,3.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.7277777777777777,,4.444444444444445,1.1541850220264318,0.7277777777777777,0.0,True,56,3,1,True,False,terminal
FEMTO,Bearing1_1,42,Hotelling T²,hotelling_t2,aggregate,20,3.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,2.727777777777778,,84.44444444444444,4.325991189427313,2.727777777777778,0.0,False,56,3,1,True,False,terminal
FEMTO,Bearing1_1,42,Isolation Forest,isolation_forest,aggregate,20,3.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.22777777777777777,0.4027777777777778,0.0,0.3612334801762115,0.22777777777777777,0.0,True,56,3,1,True,False,terminal
FEMTO,Bearing1_1,42,Deep SVDD,deep_svdd,aggregate,20,3.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.06111111111111111,0.5694444444444444,0.0,0.09691629955947137,0.06111111111111111,0.0,True,56,3,1,True,False,terminal
FEMTO,Bearing1_1,42,LSTM-Autoencoder,lstm_ae,aggregate,20,3.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,3.1166666666666667,,100.0,4.942731277533039,0.0,100.0,False,56,3,1,True,False,terminal
FEMTO,Bearing1_1,42,TCN-Autoencoder,tcn,aggregate,20,3.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,3.1166666666666667,,100.0,4.942731277533039,0.0,100.0,False,56,3,1,True,False,terminal
FEMTO,Bearing1_1,42,Transformer-AD,transformer_ad,aggregate,20,3.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,3.1166666666666667,,100.0,4.942731277533039,0.0,100.0,False,56,3,1,True,False,terminal
FEMTO,Bearing1_1,42,RMS-Trend (kσ),rms_trend,decimate,1,0.17,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.06111111111111111,0.5694444444444444,0.0,0.09691629955947137,0.06111111111111111,0.0,True,224,10,3,False,False,terminal
FEMTO,Bearing1_1,42,3σ Rule (σ=3.0),three_sigma,decimate,1,0.17,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.15833333333333333,0.4722222222222222,0.0,0.2511013215859031,0.15833333333333333,0.0,True,224,10,3,False,False,terminal
FEMTO,Bearing1_1,42,"EWMA (λ=0.2, k=3.0)",ewma,decimate,1,0.17,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.15833333333333333,0.4722222222222222,0.0,0.2511013215859031,0.15833333333333333,0.0,True,224,10,3,False,False,terminal
FEMTO,Bearing1_1,42,"CUSUM (k=0.5, h=5.0)",cusum,decimate,1,0.17,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.4222222222222222,0.20833333333333334,0.0,0.6696035242290749,0.4222222222222222,0.0,True,224,10,3,False,False,terminal
FEMTO,Bearing1_1,42,Hotelling T²,hotelling_t2,decimate,1,0.17,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.575,0.05555555555555555,0.0,0.9118942731277533,0.575,0.0,True,224,10,3,False,False,terminal
FEMTO,Bearing1_1,42,Isolation Forest,isolation_forest,decimate,1,0.17,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.17222222222222222,0.4583333333333333,0.0,0.27312775330396477,0.17222222222222222,0.0,True,224,10,3,False,False,terminal
FEMTO,Bearing1_1,42,Deep SVDD,deep_svdd,decimate,1,0.17,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.0,,0.0,0.0,0.0,0.0,False,224,10,3,False,False,terminal
FEMTO,Bearing1_1,42,LSTM-Autoencoder,lstm_ae,decimate,1,0.17,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,3.1166666666666667,,100.0,4.942731277533039,0.0,100.0,False,224,10,3,False,False,terminal
FEMTO,Bearing1_1,42,TCN-Autoencoder,tcn,decimate,1,0.17,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,3.1166666666666667,,100.0,4.942731277533039,0.0,100.0,False,224,10,3,False,False,terminal
FEMTO,Bearing1_1,42,Transformer-AD,transformer_ad,decimate,1,0.17,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,3.1166666666666667,,100.0,4.942731277533039,0.0,100.0,False,224,10,3,False,False,terminal
FEMTO,Bearing1_1,42,RMS-Trend (kσ),rms_trend,decimate,2,0.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.10555555555555556,0.525,0.0,0.16740088105726872,0.10555555555555556,0.0,True,280,5,4,False,False,terminal
FEMTO,Bearing1_1,42,3σ Rule (σ=3.0),three_sigma,decimate,2,0.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.5833333333333334,0.04722222222222222,0.0,0.9251101321585904,0.5833333333333334,0.0,True,280,5,4,False,False,terminal
FEMTO,Bearing1_1,42,"EWMA (λ=0.2, k=3.0)",ewma,decimate,2,0.33,2011-01-01 07:09:10,2011-01-01 07:47:00,0.63,0.16111111111111112,0.46944444444444444,0.0,0.25550660792951546,0.16111111111111112,0.0,True,280,5,4,False,False,terminal
